VCD info: dumpfile ./tb/waveform/Sign_Extender.vcd opened for output.
Instr               ImmSrc   Type      ImmExt               Expected             Pass
-------------------------------------------------------------------------------------------
0000000000000000    000      R-TYPE    0000000000000000    0000000000000000    1
1111111111111111    000      R-TYPE    0000000000000000    0000000000000000    1
1010101010101010    000      R-TYPE    0000000000000000    0000000000000000    1
0101010101010101    000      R-TYPE    0000000000000000    0000000000000000    1
0000111111111111    000      R-TYPE    0000000000000000    0000000000000000    1
1000000000000000    000      R-TYPE    0000000000000000    0000000000000000    1
0000000000000000    001      I-TYPE    0000000000000000    0000000000000000    1
0010000000000000    001      I-TYPE    0000000000000001    0000000000000001    1
0100000000000000    001      I-TYPE    0000000000000010    0000000000000010    1
0110000000000000    001      I-TYPE    0000000000000011    0000000000000011    1
1000000000000000    001      I-TYPE    1111111111111100    1111111111111100    1
1010000000000000    001      I-TYPE    1111111111111101    1111111111111101    1
1100000000000000    001      I-TYPE    1111111111111110    1111111111111110    1
1110000000000000    001      I-TYPE    1111111111111111    1111111111111111    1
0111111000000000    010      S-TYPE    0000000000111111    0000000000111111    1
1000000000000000    010      S-TYPE    1111111111000000    1111111111000000    1
0000001000000000    010      S-TYPE    0000000000000001    0000000000000001    1
1000001000000000    010      S-TYPE    1111111111000001    1111111111000001    1
0010101000000000    010      S-TYPE    0000000000010101    0000000000010101    1
0010101000000000    011      B-TYPE    0000000000010101    0000000000010101    1
1010101000000000    011      B-TYPE    1111111111010101    1111111111010101    1
0001100011110000    100      U-TYPE    0001100011110000    0001100011110000    1
1001100011110000    100      U-TYPE    1001100011110000    1001100011110000    1
0001111000010000    101      J-TYPE    0001111000000000    0001111000000000    1
1001111000010000    101      J-TYPE    1001111000000000    1001111000000000    1
1111111111111111    110      X         0000000000000000    0000000000000000    1
./tb/Sign_Extender_tb.v:141: $finish called at 260000 (1ps)
